Country,Days
Argentina,1327.443061162183
Austria,470.0778906634995
Bahrain,144.1045262620461
Belgium,528.5723933044825
Brazil,2792.418434389443
Bulgaria,3930.7130038068767
Canada,513.9080089169614
Chile,2695.000639022657
China,
Costa Rica,
Croatia,451.89402753495796
Cyprus,
Czechia,504.5395456544444
Denmark,493.0302644097004
Ecuador,inf
Estonia,586.4906929294984
Finland,362.9578361853
France,510.91610341617
Germany,532.8434492052505
Greece,595.4459530278854
Hungary,659.4041643005145
Iceland,
India,5671.35361201468
Indonesia,
Ireland,
Israel,22.48134513923636
Italy,555.5703159682296
Kuwait,
Latvia,1053.6420439557278
Lithuania,426.9005266346716
Luxembourg,600.044373790434
Malta,167.43091169469824
Mexico,1650.885196718961
Netherlands,3123.0329780146567
Norway,708.1395685259729
Oman,2110.7664053310014
Panama,5371.853653846154
Poland,535.2274502299834
Portugal,457.3605933024384
Romania,415.5995337672312
Russia,
Saudi Arabia,531.1150517203341
Serbia,82.86492330081228
Seychelles,16.937844517183585
Singapore,1201.0922330097087
Slovakia,477.87653398916154
Slovenia,400.85997676390133
Spain,285.0875900844037
Sweden,
Switzerland,
Turkey,387.49691391860796
United Arab Emirates,37.14068610356
United Kingdom,108.22065628077517
United States,153.38088307854082
World,
